State Control Room, Directorate of Public Health and Preventive Medicine Health and Family Welfare Department, Government of Tamil Nadu
Media Bulletin 09.03.2020
Daily report on Public Health measures taken for COVID-19 Infection prevention and control
WHO has declared the recent COVID-19 epidemic affecting 94 countries as Public Health Emergency of International Concern (PHEIC). In this context, Government of Tamil Nadu has strengthened the surveillance and control measures against the disease, as per the national guidelines.
All the passengers from all the international flights are screened universally through thermal screening. All over India the screening is carried out in 30 airports. In Tamil Nadu, till date 131793 passengers are screened at the Airports of Chennai, Trichy, Madurai, and Coimbatore. 1137 passengers are under home quarantine for 28 days and 5 are under hospital quarantine.
Till now 63 samples have been taken from the passengers and sent for testing at King Institute of Preventive Medicine, Guindy Chennai (58), National Institute of Virology, Pune (4), JIPMER(1). The samples of 58 passengers are processed and 58 samples are negative, 1 sample positive for COVID-19 infection and 4 samples are under process.
The health status of the passengers under observation in home and hospital are stable. A 45 years old male passenger with travel history to Oman who tested positive for COVID-19 is also stable and under hospital observation. He will be discharged after two consecutive samples tested negative.
In the background of the present COVID-19 epidemic, the general public are advised to adhere to health advisories issued by the state Government. Public should follow the cough etiquette by covering the face using handkerchief / towel while sneezing / coughing. Do frequent hand- washing with soap and water.
People are advised to refrain from travelling to China, Iran, Republic of Korea, Italy & Japan and advised to avoid nonessential travel to other COVID-19 affected countries. All people coming from China, Hong Kong, Republic of Korea, Iran and Italy or having such travel history should
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
remain under strict home quarantine or hospital isolation for 28 days from the date of arrival in India.
District Wise Report of passengers on follow-up for 28-day period for novel
COVID-19 infection
Sl.No	District	Feb(09- 27)	28- Feb	29- Feb	01- Mar	02- Mar	03- Mar	04- Mar	05- Mar	06- Mar	07- Mar	08- Mar	Total
1	Ariyalur	5											5
2	Chengalpattu	31		3	1		1						36
3	Chennai	202	48	21	22	5	23	12	11	4	15	33	396
4	Coimbatore	39	2	1		2	4		2		2	2	54
5	Cuddalore	7	1		1	1	3					4	17
6	Dindigul	3		1	3								7
7	Erode	8		1								11	20
8	Kallakuruchi	1					2						3
9	Kancheepuram	0	9	2	2	1	11	2		1	3	3	34
10	Kanyakumari	12	1		1		2	1	1				18
11	Karur	1	3										4
12	Krishnagiri	2										1	3
13	Madurai	20		1	1			1					23
14	Nagapattinam	32	1	1	4		10					10	58
15	Namakkal	3	6	2			5	5	1	3		1	26
16	Nilgris	0			1								1
17	Perambalur	2										1	3
18	Pudukottai	12	1				2		2			4	21
19	Ramanathapuram	50	1				1		2			2	56
20	Ranipet	1					4						5
21	Salem	9	5	4	1	1	6			1		1	28
22	Sivaganga	17				1						2	20
23	Tenkasi	5											5
24	Thanjavur	18	9				1	5	4	10	1	4	52
25	Theni	0		2			1					1	4
26	Thiruvallur	20	2	1	1		2	2				2	30
27	Thiruvarur	15		1	1		1		3	5		4	30
28	Thoothukudi	23	4	1	1	12	7	2	2		1	2	55
29	Tiruchirapalli	26		3	6	3	3		2	2	5	3	53
30	Tirunelveli	2			1		3		1			1	8
31	Tirupathur	0	2										2
32	Tiruppur	6	1		1		1						9
33	Tiruvannamalai	2	2		1		1	1				1	8
34	Vellore	4	3		1		1	1			2	3	15
35	Villupuram	3						2			1		6
36	Virudhunagar	10			1		2	1		2	2	4	22
37	Dharmapuri	0											0
	Total	591	101	45	51	26	97	35	31	28	32	100	1137
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
