State Control Room, Directorate of Public Health and Preventive Medicine Health and Family Welfare Department, Government of Tamil Nadu
Media Bulletin 10.03.2020
Daily report on Public Health measures taken for COVID-19 Infection prevention and control
WHO has declared the recent COVID-19 epidemic affecting 105 countries as Public Health Emergency of International Concern (PHEIC). In this context, Government of Tamil Nadu has strengthened the surveillance and control measures against the disease, as per the national guidelines.
All the passengers from all the international flights are screened universally through thermal screening. All over India the screening is carried out in 30 airports. In Tamil Nadu, till date 140064 passengers are screened at the Airports of Chennai, Trichy, Madurai, and Coimbatore. 1225 passengers are under home quarantine for 28 days and 5 are under hospital quarantine.
Till now 74 samples have been taken from the passengers and sent for testing at King Institute of Preventive Medicine, Guindy Chennai and National Institute of Virology, Pune. The samples of 70 passengers are processed and 69 samples are negative, 4 samples are under process and 1 sample positive for COVID-19 infection.
The health status of the passengers under observation in home and hospital are stable. The male passenger with travel history to Oman who tested positive for COVID-19 is also stable and under hospital observation. He will be discharged after two consecutive samples tested negative.
In the background of the present COVID-19 epidemic, the general public are advised to adhere to health advisories issued by the state Government. Public should follow the cough etiquette by covering the face using handkerchief / towel while sneezing / coughing. Do frequent hand-washing with soap and water.
People are advised to refrain from travelling to China, Iran, Republic of Korea, Italy & Japan and advised to avoid non- essential travel to other COVID-19 affected countries. All people coming from China, Hong Kong, Republic of Korea, Iran and Italy or having such travel history should remain under strict home quarantine or hospital isolation for 28 days from the date of arrival in India.
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
District Wise Report of passengers on follow-up for 28-day period for novel COVID-
19 infection
Sl.No	District	Feb (11 -28)	29- Feb	01- Mar	02- Mar	03- Mar	04- Mar	05- Mar	06- Mar	07- Mar	08- Mar	09- Mar	Total
1	Ariyalur	4											4
2	Chengalpattu	29	3	1		1					4	2	40
3	Chennai	235	21	22	5	23	12	11	4	15	27	31	406
4	Coimbatore	41	1		2	4		2		2	2	3	57
5	Cuddalore	7		1	1	3					4	4	20
6	Dharmapuri	0										1	1
7	Dindigul	1	1	3								1	6
8	Erode	7	1								7	1	16
9	Kallakuruchi	1				2							3
10	Kancheepuram	9	2	2	1	11	2		1	3	13	19	63
11	Kanyakumari	13				2	1	1					17
12	Karur	4											4
13	Krishnagiri	2									1		3
14	Madurai	20	1	1			1						23
15	Nagapattinam	33	1	4		10					9	4	61
16	Namakkal	9	2			5	5	1	3		1	4	30
17	Nilgris	0		1									1
18	Perambalur	2									1		3
19	Pudukottai	12				2		2			4	1	21
20	Ramanathapuram	50				1		2			2	1	56
21	Ranipet	1				4							5
22	Salem	14	4	1	1	6			1		1	1	29
23	Sivaganga	16			1						2		19
24	Tenkasi	4											4
25	Thanjavur	27				1	5	4	10	1	4	7	59
26	Theni	0	2			1					1	1	5
27	Thiruvallur	17	1	1		2	2				2	6	31
28	Thiruvarur	15	1	1		1		3	5		6	1	33
29	Thoothukudi	27	1	1	12	7	2	2		1	2		55
30	Tiruchirapalli	24	3	6	3	3		2	2	5	3	12	63
31	Tirunelveli	2		1		3		1			1	7	15
32	Tirupathur	2											2
33	Tiruppur	5		1		1						4	11
34	Tiruvannamalai	4		1		1	1				1	1	9
35	Vellore	6		1		1	1			2	2	5	18
36	Villupuram	3					2			1			6
37	Virudhunagar	10		1		2	1		2	2	4	4	26
	Total	656	45	50	26	97	35	31	28	32	104	121	1225
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
