State Control Room, Directorate of Public Health and Preventive Medicine Health and Family Welfare Department, Government of Tamil Nadu
Media Bulletin 13.03.2020
Daily report on Public Health measures taken for
COVID-19 Infection prevention and control
WHO has declared Pandemic COVID-19 affecting 118 countries as Public Health Emergency of International Concern (PHEIC). In this context, Government of Tamil Nadu has strengthened the surveillance and control measures against the disease, as per the national guidelines.
All the passengers from all the international flights are screened universally through thermal screening. All over India the screening is carried out in 30 airports. In Tamil Nadu, till date 161240 passengers are screened at the Airports of Chennai, Trichy, Madurai, and Coimbatore. 1406 passengers are under home quarantine for 28 days and 6 are under hospital isolation.
Till now 77 samples have been taken from the passengers and sent for testing at King Institute of Preventive Medicine & Research, Guindy Chennai, National Institute of Virology, Pune, Theni VRDL and Thiruvarur VRDL. The samples of 77 passengers are processed and 76 samples are negative and 1 sample positive for COVID-19 infection.
One COVID-19 positive patient admitted in RGGGH, Chennai is stable and under continuous observation. Results of his two consecutive samples taken 24hrs apart are tested negative. Hence the passenger and the contact has been stepped down from isolation ward. Health status of his contacts under home quarantine are stable.
In the background of the present COVID-19 pandemic, the general public are advised to adhere to health advisories issued by the state Government. Public should follow the cough etiquette by covering the face using handkerchief / towel while sneezing / coughing. Do frequent handwashing with soap and water.
People are advised to refrain from travelling to China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain & Germany and advised to avoid non- essential travel to other COVID-19 affected countries. All people coming from China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain & Germany or having such travel history should remain under strict home quarantine or hospital isolation for 28 days from the date of arrival in India.
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
District Wise Report of passengers on follow-up for 28-day period for novel COVID-
19 infection
Sl.No	District	Feb 14 -Mar 2	3- Mar	4- Mar	5- Mar	6- Mar	7- Mar	8- Mar	9- Mar	10- Mar	11- Mar	12- Mar	Total
1	Ariyalur	1											1
2	Chengalpattu	27	1					4	3	1			36
3	Chennai	266	23	12	11	4	15	26	27	13	14	63	474
4	Coimbatore	39	4		2		2	2	3	7	20	25	104
5	Cuddalore	7	3					3	4		2	4	23
6	Dharmapuri	0							1				1
7	Dindigul	5							1	1	1	3	11
8	Erode	6						7	1			2	16
9	Kallakurichi	1	2										3
10	Kancheepuram	14	11	2		1	3	13	20	2	9	24	99
11	Kanyakumari	13	1	1	1					1		2	19
12	Karur	4								2			6
13	Krishnagiri	2						1				1	4
14	Madurai	19		1						2	6	2	30
15	Nagapattinam	29	10					9	4	1		3	56
16	Namakkal	11	5	5	1	3		1	4	1	2	2	35
17	Nilgris	1										1	2
18	Perambalur	0						1					1
19	Pudukottai	9	2		2			4	1			4	22
20	Ramanathapuram	27	1		2			2	1		1	2	36
21	Ranipet	0	4										4
22	Salem	19	6			1		1	1	3	1	3	35
23	Sivaganga	12						2		3		1	18
24	Tenkasi	3											3
25	Thanjavur	22	1	5	4	10	1	4	7	5	2		61
26	Theni	2	1					1	1		1	3	9
27	Thiruvallur	17	2	2				2	7	2	1	3	36
28	Thiruvarur	12	1		3	5		6	1	1	3		32
29	Thoothukudi	37	7	2	2		1	2		2		4	57
30	Tiruchirapalli	23	3		2	2	5	3	12	4	3	6	63
31	Tirunelveli	2	2		1			1	6	1		2	15
32	Tirupathur	2											2
33	Tiruppur	6	1						4		7	1	19
34	Tiruvannamalai	5	1	1				1	1	1	1		11
35	Vellore	6	1	1			2	2	5	1	1	7	26
36	Villupuram	3		2			1						6
37	Virudhunagar	9	2	1		2	2	4	4	3		3	30
	Total	661	95	35	31	28	32	102	119	57	75	171	1406
24*7 Control Room Landline: 044-29510400, 044-29510500
Mobile Numbers: 9444340496, 8754448477
